0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,G,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
0,1,1,1,1,1,1,1,1,1,1,1,1,K,1,0,
0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,
0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,
0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,
0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,
0,1,0,1,0,1,0,1,G,0,1,0,1,1,1,0,
0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,
0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,
0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,
0,1,0,1,K,1,0,0,0,0,0,0,1,1,1,0,
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,
0,1,0,1,1,1,1,1,1,1,1,1,1,K,1,0,
0,E,K,1,1,1,1,1,1,1,1,1,1,1,1,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
