0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,G,1,1,1,1,1,1,1,1,1,1,K,1,1,0,
0,1,1,1,1,1,1,1,1,1,1,1,1,1,E,0,
0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,
0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,
0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,
0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,
0,0,0,1,1,0,0,0,K,0,0,1,1,0,0,0,
0,1,1,1,1,0,1,G,G,1,0,1,1,1,1,0,
0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,
0,0,1,1,1,1,1,1,1,1,1,1,1,K,0,0,
0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,
0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,
0,0,1,1,K,1,0,1,1,0,1,1,1,1,0,0,
0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
