0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,
0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,
0,1,1,G,K,1,1,1,1,1,1,1,G,1,1,0,
0,1,1,1,1,0,0,1,1,0,0,1,K,1,1,0,
0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
0,1,1,1,1,1,1,E,1,1,1,1,1,1,1,0,
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,
0,1,1,K,1,0,0,1,1,0,0,1,1,1,1,0,
0,1,1,G,1,1,1,1,1,1,1,K,G,1,1,0,
0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,
0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
