0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,
0,G,0,1,1,1,0,0,0,1,0,0,1,1,1,0,
0,E,0,1,1,1,0,0,0,1,0,0,1,1,1,0,
0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,
0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,
0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,
0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,
0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,
0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,
0,1,K,K,K,K,0,1,1,1,1,1,1,1,1,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
